state_code,dist_code,court_no,court_historical_median_resolution,pending_cases_count
3,28,5,230.0,139514
3,28,6,333.0,101184
3,28,7,555.0,73513
3,28,8,247.0,83406
3,28,9,344.0,63469
3,28,10,299.0,60808
3,28,11,357.0,78544
3,29,1,154.0,249584
3,29,2,355.0,141010
3,29,3,282.0,378677
3,29,4,223.0,181576
3,29,5,224.0,141618
3,29,6,330.0,101691
3,29,7,617.0,64246
3,29,8,246.0,83567
3,29,9,343.0,63495
3,29,10,399.0,52300
3,29,11,363.0,77719
3,29,12,406.0,80809
3,29,13,367.0,49704
3,30,1,159.0,246740
3,30,2,360.0,139577
3,30,3,282.0,378678
3,30,4,224.0,181507
3,30,5,224.0,141721
3,30,6,331.0,101530
3,30,7,368.0,99411
3,30,8,247.0,83429
4,1,1,185.0,207833
4,1,2,357.0,140385
4,1,3,282.0,378745
4,1,7,368.0,99428
4,1,8,258.0,81631
4,1,11,575.0,47825
4,2,1,151.0,251053
4,2,2,354.0,141079
4,2,3,282.0,378747
4,2,13,350.0,51041
4,2,14,332.0,47913
